stock_code,stock_name,status,base_price,sell_percentage,buy_percentage,buy_position_size,sell_position_size,position_size_type,order_time,validity_period,trade_method,account_type,raw_grid_settings,raw_order_method,is_valid,validation_errors
159682,创业五零,监控中,1.408,5.0,10.0,20000.0,20000.0,shares,2025-11-24 19:30:06,2025-12-01 收盘前 剩1个交易日,系统自动下单,普通,以1.408元为基准价，每上涨5.00%卖出，每下跌-10.00%买入,限价 即时买一价 卖出 20000份(每笔)  即时卖一价 买入 20000份(每笔),True,
159380,A500东财,监控中,1.237,5.0,5.0,10000.0,60000.0,shares,2025-11-21 16:12:00,2025-12-21 收盘前 剩15个交易日,系统自动下单,普通,以1.237元为基准价，每上涨5.00%卖出，每下跌-5.00%买入,限价 即时买一价 卖出 60000份(每笔)  即时卖一价 买入 10000份(每笔),True,
159985,豆粕ETF,监控中,2.032,5.0,10.0,50000.0,50000.0,shares,2025-11-14 16:45:34,2025-12-14 收盘前 剩10个交易日,系统自动下单,普通,以2.032元为基准价，每上涨5.00%卖出，每下跌-10.00%买入,限价 即时买一价 卖出 50000份(每笔)  即时卖一价 买入 50000份(每笔),True,
159937,黄金9999,监控中,8.99,5.0,5.0,50000.0,45000.0,amount,2025-10-24 14:08:15,2026-02-21 收盘前,系统自动下单,普通,以8.990元为基准价，每上涨5.00%卖出，每下跌-5.00%买入,限价 即时买一价 卖出 45000.00元(每笔)  即时卖一价 买入 50000.00元(每笔),True,
513730,东南亚,监控中,1.467,5.0,8.0,20000.0,20000.0,amount,2025-09-05 22:17:19,2026-09-05 收盘前,系统自动下单,普通,以1.467元为基准价，每上涨5.00%卖出，每下跌-8.00%买入,限价 即时买一价 卖出 20000.00元(每笔)  即时卖一价 买入 20000.00元(每笔),True,
513130,恒生科技,监控中,0.741,5.0,5.0,50000.0,45000.0,amount,2025-08-23 12:39:14,2026-09-05 收盘前,系统自动下单,普通,以0.741元为基准价，每上涨5.00%卖出，每下跌-5.00%买入,限价 即时买一价 卖出 45000.00元(每笔)  即时卖一价 买入 50000.00元(每笔),True,
159599,芯片指数,监控中,1.922,10.0,10.0,40000.0,40000.0,amount,2025-08-12 14:24:47,2025-12-21 收盘前 剩15个交易日,系统自动下单,普通,以1.922元为基准价，每上涨10.00%卖出，每下跌-10.00%买入,限价 即时买一价 卖出 40000.00元(每笔)  即时卖一价 买入 40000.00元(每笔),True,
159659,纳指,监控中,2.055,5.0,13.0,80000.0,72000.0,shares,2025-07-15 13:04:57,2026-03-27 收盘前,系统自动下单,普通,以2.055元为基准价，每上涨5.00%卖出，每下跌-13.00%买入,限价 即时买一价 卖出 72000份(每笔)  即时卖一价 买入 80000份(每笔),True,
159622,创新药AH,监控中,1.156,6.0,10.0,20000.0,20000.0,shares,2025-07-09 19:35:48,2025-12-25 收盘前 剩19个交易日,系统自动下单,普通,以1.156元为基准价，每上涨6.00%卖出，每下跌-10.00%买入,限价 即时买一价 卖出 20000份(每笔)  即时卖一价 买入 20000份(每笔),True,
160723,嘉实原油,监控中,1.355,2.1,4.1,20000.0,20000.0,shares,2025-06-27 14:07:35,2026-09-05 收盘前,系统自动下单,普通,以1.355元为基准价，每上涨2.10%卖出，每下跌-4.10%买入,限价 即时买一价 卖出 20000份(每笔)  即时卖一价 买入 20000份(每笔),True,
164824,印度基金,监控中,1.519,2.0,5.0,20000.0,20000.0,shares,2025-06-25 00:07:23,2026-09-05 收盘前,系统自动下单,普通,以1.519元为基准价，每上涨2.00%卖出，每下跌-5.00%买入,限价 即时买一价 卖出 20000份(每笔)  即时卖一价 买入 20000份(每笔),True,
159866,日经ETF,监控中,1.455,5.0,10.0,80000.0,72000.0,shares,2025-06-25 00:06:06,2026-09-05 收盘前,系统自动下单,普通,以1.455元为基准价，每上涨5.00%卖出，每下跌-10.00%买入,限价 即时买一价 卖出 72000份(每笔)  即时卖一价 买入 80000份(每笔),True,
159330,300基金,监控中,1.368,2.0,2.0,10000.0,10000.0,shares,2025-06-25 00:04:19,2025-12-23 收盘前 剩17个交易日,系统自动下单,普通,以1.368元为基准价，每上涨2.00%卖出，每下跌-2.00%买入,限价 即时买一价 卖出 10000份(每笔)  即时卖一价 买入 10000份(每笔),True,
530050,SH50ETF,监控中,1.182,3.0,5.0,100000.0,50000.0,shares,2025-06-25 00:03:36,2026-09-05 收盘前,系统自动下单,普通,以1.182元为基准价，每上涨3.00%卖出，每下跌-5.00%买入,限价 即时买一价 卖出 50000份(每笔)  即时卖一价 买入 100000份(每笔),True,
159691,高股息HK,监控中,1.349,2.5,3.0,80000.0,72000.0,shares,2025-06-25 00:02:04,2026-09-05 收盘前,系统自动下单,普通,以1.349元为基准价，每上涨2.50%卖出，每下跌-3.00%买入,限价 即时买一价 卖出 72000份(每笔)  即时卖一价 买入 80000份(每笔),True,
513030,德国ETF,监控中,1.823,5.0,10.0,10000.0,128700.0,shares,2025-06-24 16:16:00,2025-12-23 收盘前 剩17个交易日,系统自动下单,普通,以1.823元为基准价，每上涨5.00%卖出，每下跌-10.00%买入,限价 即时买一价 卖出 128700份(每笔)  即时现价 买入 10000份(每笔),True,
513650,标普ETF,监控中,1.788,5.0,5.0,80000.0,72000.0,shares,2025-05-24 11:04:14,2026-09-05 收盘前,系统自动下单,普通,以1.788元为基准价，每上涨5.00%卖出，每下跌-5.00%买入,限价 即时买一价 卖出 72000份(每笔)  即时现价 买入 80000份(每笔),True,
